	time_hour	grid_purchase	grid_feedin	direct_consumption	peak_hour
0	0	2125602	50482	0	False
1	1	1420502	71651	0	False
2	2	1632835	118036	0	False
3	3	770287	343885	0	False
4	4	216737	572127	0	False
5	5	167730	127197	0	False
6	6	262075	11423	0	False
7	7	873026	5184	0	False
8	8	1600957	3203	0	False
9	9	1258449	3477	0	False
10	10	1197676	2686	0	False
11	11	1209100	2244	0	False
12	12	1310424	2123	0	False
13	13	1144135	1122	0	False
14	14	1030533	1670	0	False
15	15	1074337	1878	0	False
16	16	912995	1780	0	False
17	17	876819	108	0	False
18	18	916951	73	0	False
19	19	911902	333	0	False
20	20	1113993	31	0	False
21	21	1380088	695	0	False
22	22	2216951	262	0	False
23	23	3178088	20843	0	True
